Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
CDK,Common Stock,CDK Global Inc,"CDK Global, Inc. provides software and technology solutions for automotive retailers in the United States, Europe, Canada, and internationally. The company is headquartered in Hoffman Estates, Illinois.",1609702,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1950 HASSELL ROAD, HOFFMAN ESTATES, IL, US",June,2021-12-31,6351981000,567600000,6.34,2.2,3.428,0.6,0.011,8.59,14.31,0.605,0.264,0.0989,0,1729900000,798200000,8.59,-0.038,0.075,61.25,6.34,17.09,3.672,15.76,4.657,15.35,1.2,54.7,38.41,48.72,44.49,116700000,2022-03-30,2022-02-28
CDLX,Common Stock,Cardlytics Inc,"Cardlytics, Inc. operates an advertising platform within financial institutions' digital channels including online, mobile, email, and various real-time notifications in the United States and the United Kingdom. The company is headquartered in Atlanta, Georgia.",1666071,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","675 PONCE DE LEON AVENUE, NE, SUITE 6000, ATLANTA, GA, US",December,2021-12-31,1131008000,-27847000,None,None,20.6,0,0,-3.992,8.29,-0.481,-0.36,-0.0712,-0.303,267116000,103440000,-3.992,0,0.342,74,-,-,4.234,1.895,4.765,-,2.307,142.36,32.97,52.77,74.94,33781600,None,None
CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",December,2022-03-31,42581709000,920349000,61.36,2.719,9.9,0,0,2.5,10.93,0.233,0.26,0.117,0.266,2988244000,2681238000,2.5,0.033,0.017,187.22,61.36,40.32,14.25,15.35,13.14,40.41,1.128,192.7,118.11,153.21,160.64,275759000,None,None
CDW,Common Stock,CDW Corporation,"CDW Corporation, headquartered in Lincolnshire, Illinois, is a provider of technology products and services for business, government and education.",1402057,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"200 N MILWAUKEE AVE, VERNON HILLS, IL, US",December,2021-12-31,22037279000,1664500000,23.09,1.53,5.24,1.7,0.0123,7.04,150.33,0.0475,0.0708,0.0817,0.987,20820799000,3568500000,7.04,-0.05,0.117,221.69,23.09,18.21,1.058,32.45,1.44,18.29,1.11,208.09,160.96,174.34,186.53,135057000,2022-03-10,2022-02-24
CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",December,2021-12-31,2998359000,70026000,None,None,6.53,0,0,-0.09,1.909,-0.0464,0.0871,0.0112,-0.0142,286104000,174488000,-0.09,-0.095,0.166,26.4,-,111.11,10.48,3.076,11.63,56.8,None,45.48,17.7,21.58,28.71,159657000,None,None
CETX,Common Stock,Cemtrex Inc,"Cemtrex, Inc. is a technology company in the United States and internationally. The company is headquartered in Brooklyn, New York.",1435064,NASDAQ,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","19 ENGINEERS LANE, FARMINDALE, NY, US",September,2021-12-31,9871700,-9894810,None,0,0.908,0,0,-0.528,2.223,-0.236,-0.239,-0.129,-0.0932,44967300,16968400,-0.528,0,0.208,2.75,-,-,0.22,0.551,0.209,2.475,2.247,2.559,0.39,0.622,0.971,24673200,2019-06-13,2017-03-29
CETXP,Preferred Stock,Cemtrex Inc,"Cemtrex, Inc. is a technology company in the United States and internationally. The company is headquartered in Brooklyn, New York.",1435064,NASDAQ,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","19 ENGINEERS LANE, FARMINDALE, NY, US",September,2021-12-31,3876700,-9894810,None,0,0.908,0,0,-0.528,2.223,-0.236,-0.239,-0.129,-0.0932,44967300,16968400,-0.528,0,0.208,None,-,-,0.0862,-,-,-,2.247,2.857,0.8,1.466,1.788,1486700,2020-04-06,None
CEVA,Common Stock,CEVA Inc,None,1173489,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"15245 SHADY GROVE ROAD, SUITE 400, ROCKVILLE, MD, US",December,2021-12-31,814703000,11463000,2065.29,2.223,12.04,0,0,0.017,5.38,0.0032,0.0365,0.0088,0.0015,122706000,105879000,0.017,4.82,0.21,58.17,2065.29,44.44,6.64,2.983,5.53,51.85,1.037,57.9,32.45,38.45,42.34,23204300,None,None
CFLT,Common Stock,Confluent Inc. Class A Common Stock,"Confluent, Inc. is dedicated to developing a cloud-native platform for data in motion that helps companies connect their applications with real-time streams in the United States and internationally. The company is headquartered in Mountain View, California.",1699838,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"899 W. EVELYN AVENUE, MOUNTAIN VIEW, CA, US",December,2021-12-31,8899168000,None,None,None,3.128,0,0,-1.817,2.056,-0.884,-0.876,-0.148,-0.613,387864000,251585000,-1.817,0,0.705,78.07,-,-,22.94,11.14,22.11,-,None,94.97,28.03,39.58,57.55,125614000,None,None
CGNT,Common Stock,Cognyte Software Ltd,"Cognyte Software Ltd. provides security analysis software to governments and companies around the world. The company is headquartered in Herzliya, Israel.",1824814,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"33 MASKIT, HERZLIYA PITUACH, IL",January,2022-01-31,489345000,25236000,260,None,4.348,0,0,0.028,7.14,0.004,0.0121,0.0042,0.0236,473105000,312032000,0.028,-0.748,0.048,15.6,260,9.29,1.034,1.709,0.947,15.1,None,28.55,7.01,10.03,18.0,67218000,None,None
